C:\behvdata\clash\clashMEG	 August 05, 2014 09:19:44	 ValueA	 ValueB	 PatchOrder	 currPatch	 SwCost	 RT1	 MagLeft	 ProbLeft	 MagRight	 ProbRight	 Choice2	 RT2	 FeedLeft	 FeedRight	 Points	 meanA	 meanB	 breakVBL	 itiVBL	 stage1aVBL	 stage1bVBL	 stage1cVBL	 stage2aVBL	 stage2cVBL	 JitFeedB	 JitITI	 JitValues	 JitSecond	 
        37.000000 	       210.000000 	        55.000000 	        41.000000 	         1.000000 	         2.000000 	        20.000000 	         1.276058 	        16.000000 	         6.000000 	        25.000000 	         4.000000 	         1.000000 	         0.975792 	         1.000000 	         1.000000 	      3531.000000 	        54.592033 	        44.515327 	      2608.478794 	      1723.358409 	      1729.369983 	      1730.702909 	      1731.116118 	      1733.022227 	      1734.061912 	         1.000000 	         6.000000 	         0.400000 	         1.900000 	  
        37.000000 	       211.000000 	        48.000000 	        45.000000 	         1.000000 	         2.000000 	        20.000000 	         0.446761 	         4.000000 	         4.000000 	        41.000000 	         5.000000 	         2.000000 	         1.679194 	         0.000000 	         1.000000 	      3572.000000 	        55.641492 	        43.647307 	      2608.478794 	      1735.274892 	      1737.087693 	      1737.594205 	      1738.100721 	      1740.206776 	      1741.952922 	         1.200000 	         1.800000 	         0.500000 	         2.100000 	  
        37.000000 	       212.000000 	        55.000000 	        42.000000 	         2.000000 	         2.000000 	        20.000000 	         0.583004 	        25.000000 	         8.000000 	        17.000000 	         2.000000 	         1.000000 	         0.919634 	         1.000000 	         0.000000 	      3597.000000 	        58.790807 	        41.416244 	      2608.478794 	      1743.059259 	      1745.271939 	      1745.911758 	      1746.524904 	      1748.431011 	      1749.417382 	         1.100000 	         2.200000 	         0.600000 	         1.900000 	  
        37.000000 	       213.000000 	        61.000000 	        39.000000 	         1.000000 	         2.000000 	        20.000000 	         0.742134 	         8.000000 	         4.000000 	        31.000000 	         7.000000 	         2.000000 	         0.756398 	         0.000000 	         1.000000 	      3628.000000 	        58.065516 	        38.418279 	      2608.478794 	      1750.323785 	      1752.336519 	      1753.136286 	      1753.749439 	      1755.562246 	      1756.375331 	         0.900000 	         2.000000 	         0.600000 	         1.800000 	  
        37.000000 	       214.000000 	        59.000000 	        39.000000 	         1.000000 	         2.000000 	        20.000000 	         0.917171 	        16.000000 	         5.000000 	        23.000000 	         2.000000 	         1.000000 	         1.174389 	         1.000000 	         0.000000 	      3644.000000 	        60.280027 	        40.396689 	      2608.478794 	      1757.388364 	      1759.601049 	      1760.574097 	      1760.987309 	      1762.800103 	      1764.039741 	         1.000000 	         2.200000 	         0.400000 	         1.800000 	  
        37.000000 	       215.000000 	        69.000000 	        38.000000 	         1.000000 	         2.000000 	        20.000000 	         0.639192 	         4.000000 	         9.000000 	        34.000000 	         3.000000 	         1.000000 	         2.109312 	         1.000000 	         1.000000 	      3648.000000 	        60.911808 	        39.966428 	      2608.478794 	      1765.146076 	      1767.358759 	      1768.051893 	      1768.665047 	      1779.008445 	      1781.181354 	         1.100000 	         2.200000 	         0.600000 	         2.000000 	  
        37.000000 	       216.000000 	        64.000000 	        35.000000 	         2.000000 	         2.000000 	        20.000000 	         0.758798 	        14.000000 	         7.000000 	        21.000000 	         2.000000 	         1.000000 	         1.079709 	         1.000000 	         0.000000 	      3662.000000 	        63.216041 	        37.385468 	      2608.478794 	      1782.394323 	      1784.207115 	      1785.020214 	      1785.433425 	      1787.446165 	      1788.592495 	         1.200000 	         1.800000 	         0.400000 	         2.000000 	  
        37.000000 	       217.000000 	        62.000000 	        34.000000 	         2.000000 	         2.000000 	        20.000000 	         0.645983 	         7.000000 	         6.000000 	        27.000000 	         7.000000 	         2.000000 	         0.883940 	         1.000000 	         1.000000 	      3689.000000 	        64.466839 	        37.261460 	      2608.478794 	      1789.498893 	      1791.711572 	      1792.418038 	      1792.924527 	      1794.737353 	      1795.683741 	         0.900000 	         2.200000 	         0.500000 	         1.800000 	  
        37.000000 	       218.000000 	        60.000000 	        36.000000 	         1.000000 	         2.000000 	        20.000000 	         0.696177 	        14.000000 	         3.000000 	        22.000000 	         6.000000 	         2.000000 	         0.790377 	         0.000000 	         1.000000 	      3711.000000 	        65.209605 	        35.664290 	      2608.478794 	      1796.696782 	      1798.909453 	      1799.669229 	      1800.282393 	      1802.495061 	      1803.348154 	         1.000000 	         2.200000 	         0.600000 	         2.200000 	  
        37.000000 	       219.000000 	        58.000000 	        33.000000 	         1.000000 	         2.000000 	        20.000000 	         0.586312 	        10.000000 	         4.000000 	        23.000000 	         2.000000 	         1.000000 	         2.680397 	         1.000000 	         0.000000 	      3721.000000 	        65.578966 	        34.773473 	      2608.478794 	      1804.454486 	      1806.667173 	      1807.306974 	      1807.920132 	      1809.732936 	      1812.478790 	         1.100000 	         2.200000 	         0.600000 	         1.800000 	  
        37.000000 	       220.000000 	        67.000000 	        33.000000 	         1.000000 	         2.000000 	        20.000000 	         0.588954 	        10.000000 	         2.000000 	        23.000000 	         6.000000 	         2.000000 	         0.739278 	         1.000000 	         1.000000 	      3744.000000 	        68.287939 	        34.682349 	      2608.478794 	      1813.491816 	      1815.704501 	      1816.357645 	      1816.864163 	      1818.770259 	      1819.570023 	         1.000000 	         2.200000 	         0.500000 	         1.900000 	  
        37.000000 	       221.000000 	        74.000000 	        40.000000 	         2.000000 	         2.000000 	        20.000000 	         2.692258 	        16.000000 	         7.000000 	        24.000000 	         3.000000 	         1.000000 	         1.147075 	         1.000000 	         0.000000 	      3760.000000 	        69.905350 	        31.133341 	      2608.478794 	      1820.476431 	      1822.689104 	      1825.434960 	      1826.048126 	      1827.954078 	      1829.167202 	         0.900000 	         2.200000 	         0.600000 	         1.900000 	  
        37.000000 	       222.000000 	        71.000000 	        31.000000 	         1.000000 	         2.000000 	        20.000000 	         0.646667 	         3.000000 	         7.000000 	        28.000000 	         9.000000 	         2.000000 	         1.181212 	         1.000000 	         1.000000 	      3788.000000 	        70.674188 	        30.148445 	      2608.478794 	      1830.273534 	      1832.486226 	      1833.192673 	      1833.605892 	      1835.511994 	      1836.751636 	         1.100000 	         2.200000 	         0.400000 	         1.900000 	  
        37.000000 	       223.000000 	        66.000000 	        33.000000 	         2.000000 	         2.000000 	        20.000000 	         0.686353 	        30.000000 	         4.000000 	         3.000000 	         8.000000 	         1.000000 	         0.852809 	         1.000000 	         1.000000 	      3818.000000 	        70.338320 	        29.346170 	      2608.478794 	      1837.857967 	      1839.870706 	      1840.617154 	      1841.123644 	      1843.136411 	      1844.056141 	         1.100000 	         2.000000 	         0.500000 	         2.000000 	  
