C:\Behvdata\clash\clashMEG	 April 15, 2014 09:33:15	 ValueA	 ValueB	 PatchOrder	 currPatch	 SwCost	 RT1	 MagLeft	 ProbLeft	 MagRight	 ProbRight	 Choice2	 RT2	 FeedLeft	 FeedRight	 Points	 meanA	 meanB	 breakVBL	 itiVBL	 stage1aVBL	 stage1bVBL	 stage1cVBL	 stage2aVBL	 stage2cVBL	 JitFeedB	 JitITI	 JitValues	 JitSecond	 
         1.000000 	        24.000000 	        66.000000 	        41.000000 	         1.000000 	         2.000000 	         5.000000 	         3.292606 	         4.000000 	         4.000000 	        37.000000 	         1.000000 	         2.000000 	         2.334910 	         1.000000 	         0.000000 	       532.000000 	        60.904561 	        42.700700 	      3794.367281 	       185.786851 	       187.999546 	       191.358468 	       191.771812 	       193.877864 	       196.277188 	         0.900000 	         2.200000 	         0.400000 	         2.100000 	  
         1.000000 	        25.000000 	        62.000000 	        49.000000 	         1.000000 	         2.000000 	         5.000000 	         2.213388 	        20.000000 	         3.000000 	        29.000000 	         4.000000 	         2.000000 	         1.398660 	         0.000000 	         0.000000 	       532.000000 	        62.656490 	        41.826022 	      3794.367281 	       197.090290 	       199.302986 	       201.582325 	       202.088859 	       203.901666 	       205.354585 	         0.800000 	         2.200000 	         0.500000 	         1.800000 	  
         1.000000 	        26.000000 	        71.000000 	        39.000000 	         2.000000 	         2.000000 	         5.000000 	         1.208551 	         8.000000 	         8.000000 	        31.000000 	         7.000000 	         2.000000 	         1.646725 	         1.000000 	         1.000000 	       563.000000 	        64.886293 	        39.613608 	      3794.367281 	       206.367385 	       208.380387 	       209.646692 	       210.153214 	       211.966031 	       213.672201 	         1.000000 	         2.000000 	         0.500000 	         1.800000 	  
         1.000000 	        27.000000 	        70.000000 	        35.000000 	         1.000000 	         2.000000 	         5.000000 	         0.802013 	         7.000000 	         1.000000 	        28.000000 	         5.000000 	         2.000000 	         0.712999 	         0.000000 	         1.000000 	       591.000000 	        67.022391 	        37.278286 	      3794.367281 	       214.685248 	       216.498071 	       217.364479 	       217.777706 	       219.683818 	       220.456928 	         1.000000 	         1.800000 	         0.400000 	         1.900000 	  
         1.000000 	        28.000000 	        70.000000 	        38.000000 	         1.000000 	         2.000000 	         5.000000 	         1.340317 	        34.000000 	         4.000000 	         4.000000 	         9.000000 	         2.000000 	         3.565530 	         1.000000 	         1.000000 	       595.000000 	        68.998519 	        36.903249 	      3794.367281 	       221.563279 	       223.376098 	       224.775698 	       225.188908 	       227.095035 	       230.720659 	         1.100000 	         1.800000 	         0.400000 	         1.900000 	  
         1.000000 	        29.000000 	        71.000000 	        36.000000 	         2.000000 	         1.000000 	         5.000000 	         1.569808 	        43.000000 	         9.000000 	        28.000000 	         7.000000 	         1.000000 	         0.840775 	         1.000000 	         1.000000 	       633.000000 	        69.331091 	        36.005635 	      3794.367281 	       231.933655 	       233.746472 	       235.372672 	       235.878943 	       238.091894 	       238.998300 	         1.200000 	         1.800000 	         0.500000 	         2.200000 	  
         1.000000 	        30.000000 	        68.000000 	        45.000000 	         2.000000 	         1.000000 	         5.000000 	         0.581252 	         7.000000 	         2.000000 	        61.000000 	         9.000000 	         2.000000 	         0.643885 	         1.000000 	         1.000000 	       694.000000 	        67.526842 	        38.283283 	      3794.367281 	       239.811401 	       245.823017 	       246.462820 	       247.075987 	       248.888796 	       249.595264 	         0.800000 	         6.000000 	         0.600000 	         1.800000 	  
         1.000000 	        31.000000 	        66.000000 	        43.000000 	         1.000000 	         1.000000 	         5.000000 	         0.874296 	        40.000000 	         3.000000 	        26.000000 	         5.000000 	         1.000000 	         2.421637 	         0.000000 	         1.000000 	       694.000000 	        64.842533 	        39.596075 	      3794.367281 	       250.501671 	       252.314495 	       253.247549 	       253.660763 	       255.566886 	       258.046185 	         0.900000 	         1.800000 	         0.400000 	         1.900000 	  
         1.000000 	        32.000000 	        63.000000 	        44.000000 	         2.000000 	         1.000000 	         5.000000 	         1.702995 	        13.000000 	         1.000000 	        50.000000 	         9.000000 	         2.000000 	         0.760805 	         0.000000 	         1.000000 	       744.000000 	        62.388509 	        41.378701 	      3794.367281 	       259.152537 	       261.365225 	       263.124724 	       263.537939 	       265.644009 	       266.470438 	         1.100000 	         2.200000 	         0.400000 	         2.100000 	  
         1.000000 	        33.000000 	        76.000000 	        48.000000 	         2.000000 	         1.000000 	         5.000000 	         0.787693 	        23.000000 	         9.000000 	        53.000000 	         5.000000 	         2.000000 	         2.106247 	         1.000000 	         1.000000 	       797.000000 	        64.216810 	        45.099854 	      3794.367281 	       267.283540 	       269.096358 	       269.949446 	       270.455968 	       272.362086 	       274.534779 	         0.800000 	         1.800000 	         0.500000 	         1.900000 	  
